40573 42422
17070 -44421 -27369
56756 80149 -75219
36656 -89386 44327
21057 62346 73225
37934 72882 82994
58272 74845 44073
29105 90559 78800
67177 90593 -18176
63301 92454 -39770
24904 -18715 -89392
9916 -49837 -19382
7775 -67119 -85561
4420 -94923 73886
21111 77150 -96753
55858 63342 -76954
41131 -97195 8514
38892 -26019 -7770
68314 64935 9836
59478 -71007 84886
9523 23630 -41745
16001 44545 -85980
72099 40776 -73938
55738 -64892 46097
10298 18853 18017
65517 -82772 31995
12570 57581 52694
57678 90906 -43653
33170 -98524 -62274
68873 -8489 -5324
13868 -67945 94791
23761 18220 21409
53053 51859 51727
10033 -94094 426
39152 47742 25118
40138 7765 96763
4146 22109 34560
45401 40368 23737
78657 -97926 -49786
64243 -56877 -35969
79191 95932 53014
60451 47247 37362
35469 -85249 35969
2190 -21645 69651
22386 -97676 -62663
63614 34057 33226
22934 -19467 4555
37568 -46602 72124
6290 47597 26180
10551 -55774 -86575
67195 -7910 75849
967 -38052 -98287
49423 37170 -51941
666 -4311 80490
20474 -8787 -15088
47420 -4123 -3402
45021 13434 91923
45070 9488 -32710
1654 -34647 -45455
36805 -65940 -104
78467 52041 -98638
15033 12761 59194
66060 10793 -58345
75866 -89602 -4046
18570 -49758 43143
15726 -74937 -98197
56596 -42684 -85897
33973 -92912 -80339
45595 -51257 11739
73127 -33145 -93524
53015 17751 14777
45593 38663 -4936
26100 -2239 70889
18058 88211 1846
47061 -76025 87385
37170 -63325 -80082
13044 -85583 -29240
10651 -64573 47997
22611 -79032 -18260
74583 -99086 56206
42962 5342 32606
27656 37806 42767
8661 -80066 -50644
33110 72848 -7562
50813 13749 -485
26180 -75251 -1938
12263 -11392 8733
46639 -88846 -98453
41430 1981 95397
55765 -8152 51574
55933 -19538 -6310
10225 -56649 -63823
70255 49464 40267
77027 -49298 56717
52913 74609 42400
37138 73381 71445
69644 -70399 -2517
60311 -20185 98685
19696 -57666 63329
72761 14541 -75951
18137 92440 -54632
20791 -63301 -41915
10779 -90958 -4622
74657 -52156 -66912
48281 -82720 -99007
42625 67561 -58653
31379 -24026 34790
69162 -40825 30592
19812 97684 -36891
7799 -96878 -43824
31021 -29446 11894
22393 -1265 10587
21866 -60424 -54077
47135 -50332 73625
33022 -64568 35076
22986 -63291 -8778
29017 72758 60753
39612 70981 31019
8875 -23691 -56368
76096 -69550 -5102
7854 38987 -11854
14568 -10066 94345
71557 95733 -50297
42008 24998 -62442
17881 97369 15728
20085 -85706 19056
66957 -87908 45468
79122 -9939 39231
77087 97260 65665
81741 61647 -15026
42721 81993 -11536
62248 99860 -39148
37710 -81402 -33707
30382 59233 -73993
16080 97384 -25344
66672 42098 75461
18905 44810 -67922
66196 -56956 67378
3927 -53100 -72877
72845 8590 94887
36590 -86231 17427
41384 44875 81491
69267 78967 75526
30045 -97820 76422
50518 -89185 -86885
16026 -6277 -45311
51474 84037 -36751
70265 38430 -13665
46339 -70258 95415
52819 -32802 -90219
12663 15778 -49246
10043 74635 40221
19868 -12224 -19562
69815 -94419 84803
25129 -29333 78274
32366 77345 -984
73505 -59553 12852
77390 -83772 56876
68804 -4817 54208
48623 54902 -63409
72130 -51386 40662
18474 -7591 -41236
24414 -90647 -55531
15502 -78410 -30279
53349 -40942 38796
15261 9629 36302
42670 -25488 38672
59339 99908 -36020
20020 -71136 -97805
74358 94016 -29045
61220 -593 -50832
82284 -60645 -76945
63948 -69742 -12220
39296 86064 -80257
26605 70213 -92391
41699 -55293 -5813
70590 -5020 -63167
7599 -24336 39005
76557 -63224 97808
23859 -99035 -74856
68648 47245 -95402
37698 -61357 66635
64793 5970 97063
40589 -91609 92198
26060 23404 -97255
55298 -14330 -31327
45561 65314 -7339
76097 59816 -89308
79723 72778 -14161
79950 -19880 -37078
24519 17610 -59002
74123 -60057 44129
59937 -42037 -12385
73140 23426 -82608
4129 -75180 39741
1687 47511 13075
60211 72032 83272
29426 30838 88501
37623 -45435 -87195
55614 -37180 -98643
60589 -62640 24761
59718 -34342 -63944
15735 -93918 -22036
28414 -57717 86536
58888 -40805 73667
37965 70686 19292
32278 -40164 24494
23813 -99599 -86449
13849 -72880 61951
81320 89860 -89779
25703 80659 2323
63480 81948 -94839
53992 -83821 73998
54270 32090 64946
17067 7736 -83459
28358 40588 33803
64462 -58085 -9417
55124 58437 -81251
42621 1236 3469
34145 24569 19583
76803 -44472 75564
28425 84946 -43835
64583 4541 71547
43564 74230 -84306
20975 62917 -35911
76619 -20733 -58031
39322 3396 -70517
26091 40278 -89911
28976 61037 71527
62817 18639 21415
58521 42012 -63403
32268 8751 -22880
10885 48120 17061
66509 63483 85466
65954 65852 -58865
39958 26692 -14562
61574 -63277 -70773
70935 -27856 42749
51148 -79651 61755
28133 -50868 54330
9043 75216 -62178
57493 -13915 -84890
80955 37881 -93995
29386 -65404 -45343
18872 12311 83805
30142 -29981 68418
28535 -89484 -14438
62120 90706 52873
8736 -53360 -2103
34570 5290 30632
56003 -52220 -51977
73899 -12372 -71362
34548 -32341 -52304
894 86609 -87695
75398 67216 -34784
74847 98504 34490
44462 -27214 5102
9879 12600 -8358
38058 63439 47497
69545 12741 2388
47713 57627 -93574
28575 -25467 32974
64848 -94323 70589
70119 -23219 -26709
51959 87137 64196
27829 -25511 71162
49039 671 76014
40142 59384 -48129
56297 -53913 9681
1600 -14281 -12064
24421 -3313 -25
16520 81408 -43439
4463 86377 80505
66103 40219 14457
55785 12 70667
38424 -61077 12996
55130 43451 -62382
7020 -41278 43575
2285 -37403 98715
80437 -22687 -98018
6587 -82511 23893
82149 -57500 -118
19501 -52247 15021
54222 -67338 -62170
74773 -14718 93369
14252 -43802 8839
75238 37290 57733
54388 6666 -87594
24348 -44085 75187
32044 28123 -12575
35416 -85190 -11098
15739 -53940 30768
6976 6162 -22162
50613 -70938 -34501
25631 -58765 645
32930 -74116 -51166
63888 2758 70506
50999 -32452 33639
6084 1876 30118
52339 -67585 -19729
15496 21368 70892
8599 87849 -20272
64136 -52345 -60594
11546 92583 65060
65284 -97186 -12725
66825 -54859 -1177
62369 -24195 -30072
36295 85285 -95678
59676 -35330 -20945
61656 90644 81943
72598 -88468 -2420
19636 93466 66680
699 -40918 14778
23550 -89224 24841
3266 -65050 -77542
71048 67430 -70304
78410 -31920 270
5570 -7574 79588
68735 -11577 -64898
25047 -94465 35769
12907 -21782 -37115
27555 92367 -5511
54870 15384 43491
51386 -48835 -87206
76336 47480 -18717
59181 -65872 43273
24493 -89094 -62936
28370 -22812 -872
30691 64754 -88660
29396 30376 18558
14721 -69943 -76965
77172 -51109 27616
13208 20330 -18987
63844 -70489 -53324
23967 19910 -47474
52021 -34210 -44190
26593 87354 -80632
38969 -12000 -37466
67200 69224 -96839
48758 -43631 -72684
66096 -74691 -30441
55583 54636 -62089
9264 84957 34512
17730 34483 38787
33083 71929 -96075
15408 93023 -36569
10078 96558 -73725
38826 -49 -76478
75081 4371 25292
65983 57992 54392
9080 24584 -37026
10857 71404 -8743
67465 27786 -32290
17950 4259 98195
30804 50760 69564
79882 39123 14539
70442 27523 41212
69554 12641 -98021
34595 19457 -87503
30898 -99557 -25573
28047 -91453 -12896
80422 -6614 30151
49615 -79731 -25394
3758 24948 -35917
33411 44260 72108
38279 71319 85324
42659 86794 31378
65845 54304 9080
34527 55005 -66923
55591 -70614 56554
41302 -13887 -2223
33272 9287 27822
15667 22300 -93408
55699 -24312 81118
31948 -55566 59287
64168 -49709 95701
50775 -32924 -96814
37803 19959 26815
17749 94034 -54631
31132 92489 9763
56278 -42903 68768
18286 -5665 -18837
47225 -80618 -84394
70299 -77422 65651
28245 -36130 62346
1633 9805 94458
35714 -90015 -91617
29405 -91340 -56195
10931 96561 -66602
52990 -92449 -28402
80338 -58917 -91168
33548 -63397 94932
43752 -2042 7797
38107 -41778 -50041
40243 53763 -83649
71609 63048 74579
3961 -88607 -86857
24233 72575 89678
80292 35418 -15248
8347 7379 30773
48050 -54336 -8981
61162 -53212 -27861
36749 22714 39658
478 -79691 40825
48283 -44937 -72045
279 79602 -20570
25451 7049 -172
25849 -94634 30436
29064 98606 35953
46559 -67608 -98873
15172 -40364 83044
13264 -76319 -79674
45711 4287 -55829
28215 14112 17038
67510 -66395 23619
3564 17855 79025
24363 28217 22715
42660 -21897 -21255
10708 -56975 1852
455 -13949 17562
19728 -67070 -74816
42116 65064 10716
56716 56579 78296
81546 -1328 -12700
36401 52948 35950
64219 80526 -62356
56340 -64532 -32502
64899 -97649 9234
16473 35722 -1595
17048 -73660 63749
38586 53419 -67257
17036 -8647 91381
46882 3550 41453
75131 79888 51597
51008 -42023 -10356
44779 -7228 8759
80368 94603 85267
21189 -4794 68772
28676 60835 42421
16651 46530 -5737
37269 -28137 -45072
67957 -24316 -11369
56701 56433 -74515
45944 -15171 -16002
6920 58776 53419
63179 56100 -66733
35144 -33024 69073
19507 -21809 82839
66423 -52657 -12545
9776 -21818 -39817
9211 -80406 90830
57652 10487 89471
7072 -26 5412
25109 73428 -15721
29953 32379 98788
63454 26154 92034
23987 -56494 -31889
74935 52282 92968
77924 5983 -24901
51532 47639 3779
57045 -23578 -44104
66615 -55376 -87327
53251 26160 43686
17772 58001 14123
12142 -45080 14737
41533 -16171 39151
45110 85172 52071
34854 -37137 -6
72097 -20917 37333
5698 69385 93814
48063 -15478 -70950
3127 41855 40359
13970 37766 -24293
405 89148 -97452
31402 -71594 -14659
73546 7237 40943
13280 -89336 43518
52584 -32177 -14913
23810 -16422 -68271
24824 60051 5635
81516 22173 44360
56598 65468 -27820
76252 79846 -32989
34056 -81840 -28220
53832 4311 -63322
17295 -44855 82172
55721 36477 81390
15658 86888 16247
19989 45882 -53433
63683 71486 47429
2109 -65174 56943
22762 98697 56684
30884 -53760 48964
62609 -35792 62289
38151 -62795 -74086
50018 24451 88462
68786 56559 -52281
56493 44299 -72749
7736 26379 95909
61930 91405 77528
59026 -86526 -20654
11466 -15149 -92890
43496 99167 -66649
21980 -50782 97764
68418 24177 67323
58536 -30625 -50349
57276 -87879 90176
79102 4638 -17144
57801 -81777 96860
76582 94064 3729
35611 19460 -86254
23007 23496 -52108
507 -53527 49288
20643 -36765 70953
1221 -63474 69310
6873 -9211 -92309
6280 5419 -816
58782 -9435 -66485
41077 -16800 -56341
4805 -28853 -95177
59487 -49939 57868
34608 38458 71696
33990 -10855 -7550
77183 -1463 -96870
26468 42865 -12733
27059 -29656 66299
63209 11663 -34440
4080 -65723 97926
42863 -56752 13660
4915 92014 7330
52217 -45963 82170
23715 -27251 18348
45388 58861 -74316
46155 43889 -86532
31755 -57623 5321
76650 -6908 -94773
13178 52200 79831
61371 -39815 -30610
34638 -48033 -75791
46732 29789 -56209
69723 -51764 70666
53835 63782 -13835
71233 31123 38664
15405 13778 98962
61320 -27312 -85810
29986 -75882 -70673
24061 -37030 52724
65452 -76950 85842
70514 87289 -79576
78964 27889 38609
41292 74903 78498
71640 82569 -9790
30607 78603 12394
7340 -58917 -87863
66862 -41513 5744
67154 -52308 -63326
58242 48717 80796
54770 -87112 48505
5236 -86260 64322
14643 14693 -51957
7724 -89189 50389
78484 -90469 -86042
13298 98271 -80196
34899 -84529 17515
72012 -96712 -46348
67991 76098 92999
25141 -95185 -30149
77157 -24760 -99671
49009 73426 -43511
6372 -75656 -16959
61565 -147 90254
64715 98383 -75219
65503 66044 50107
23695 17886 -16886
32407 -33099 -21411
21056 -50781 17892
9399 76897 -73708
32568 2912 31195
71206 -73124 20639
74643 -54461 59352
19955 81443 -85340
26868 25556 2490
47175 -36992 -65251
39735 -36715 -26449
11151 37314 77773
75611 72909 30526
57481 39400 7395
3482 76410 -81900
66198 85980 -3194
31853 90772 42576
2471 -37709 -99700
2044 61641 -54147
71545 35504 32940
43409 3446 46930
22791 73173 -88549
49349 46242 51003
71814 84988 -49906
28208 -67628 -12411
4802 89367 80644
24726 56873 -83296
9215 -36124 19359
44645 96694 27867
48761 28863 -69434
16226 -11754 -92290
11965 -93938 -76428
52623 -48062 -31548
52211 -96878 60571
6137 10493 72417
14544 43111 -99655
9447 35146 -350
28385 -26240 41953
42328 59090 -65181
3144 16690 -35237
69712 49492 -27376
71881 -68675 7650
62763 74114 80528
69378 40616 -14729
48969 59044 30754
71101 2064 48914
11641 -57366 98271
63396 29646 26660
79615 1681 -41375
47770 28684 -83264
16215 10023 87406
44298 -76425 66737
16976 -44867 -78486
25138 13119 85376
54210 -31557 44766
39245 80018 96447
68393 -51434 11044
21470 -10947 52570
35169 785 -28879
67903 -55311 -73077
34793 65092 47898
81399 -71417 22659
68998 11924 -56893
11373 61490 96289
48282 32858 84492
46308 35177 85039
22701 -3559 -69286
5354 -27969 -12487
36569 1107 -96288
64645 -95551 59963
60235 38976 88898
13450 -10508 -37124
76905 -82179 -76404
21155 -69101 50779
15061 7271 -72939
32882 -45210 82069
23988 -32236 23447
64654 30795 -57
1388 14049 -87305
21526 -37258 -77270
55971 -66249 -6367
8004 -86139 92824
80052 77447 -98190
72331 -38234 -41087
33054 -89037 -38206
27807 -70719 -57845
40880 -71565 -18543
28218 -4700 27496
45349 58140 -81156
12787 -68433 -87589
65318 68410 -17910
26367 766 -67445
2644 -60822 44084
64682 4608 -84658
67376 4490 22180
1382 -56063 20841
48197 41811 98907
50295 6541 -73739
79996 -21160 4261
11452 -69119 62984
23126 90090 -28255
7595 14224 -36866
13088 -34993 37485
62572 -56167 71677
61489 -23761 87376
76716 50956 -53029
6014 -7988 43195
62050 -87512 -36436
75495 53328 -12016
82790 -1605 -42258
30644 -23792 49620
27827 12485 -82285
56594 90506 13658
50476 -43407 5786
44582 11912 -5028
51071 -44246 57947
81920 -50382 -56668
71061 -9695 -51610
1465 -90455 22921
70923 83915 19418
44885 12782 12393
47701 10626 -85283
26854 -20793 -75306
69599 20796 76093
32894 69319 76055
39094 -24396 -73513
45488 65528 44634
14173 34129 78827
64084 -10509 -57210
16407 -45612 -86894
79021 39571 14157
73882 7499 13822
18285 -59295 -57285
27295 99258 395
18192 -64556 -95636
5150 -93319 10350
82656 -29838 -17781
38288 89367 99623
72509 28048 -78375
72702 -46769 -90748
52692 69524 -24103
72305 -77869 24063
36323 76838 -36662
79758 33890 98729
53304 -15684 -64771
40938 42883 -84112
4126 -43376 -76211
11010 95094 -39748
78053 24801 -8678
50752 44191 -81637
54278 -4196 -9204
81340 -48707 93975
7780 25991 85113
11677 4907 1286
57113 -28285 -66597
74789 13233 -10692
78043 77295 26797
52442 58989 11072
68298 -86461 2717
43606 -53990 59575
42636 -75270 82858
53126 13907 44144
18391 73333 -33919
26869 93994 -6287
8145 -2160 60817
56257 -19531 -14449
42109 -51234 -44757
40835 -75201 -95985
16809 -96804 -20469
80441 22197 -12007
71701 97257 34691
6627 -46919 -8347
5822 -8222 46646
49064 -59855 -61408
8179 62575 -40671
59644 -58851 46773
64038 -60711 -62190
51173 20067 -35153
76360 60532 -95234
82225 -76768 -62577
60457 8188 -70857
75475 -23470 -37784
9150 9795 27529
36229 -12337 45296
46439 20337 -50910
58902 -20417 -13052
24503 62848 -53217
61746 67882 -65639
11537 -86500 90747
58443 81330 -43440
21925 -67218 -31279
52735 8915 -80537
60042 -26182 -19957
80812 46526 -45454
13434 79129 99501
2976 -73057 -66743
7735 -69234 -22089
29156 51601 97936
38972 11506 -15637
71766 -20514 72004
31774 33107 73763
44236 -22631 -18645
32114 -17797 -78025
34351 -64705 -52587
40829 -49904 -27656
63903 -72576 -5200
4166 -80876 -75258
16569 -91687 -70555
6474 32299 -48853
5961 -91440 90804
22412 -83632 67363
6606 -47535 21974
15343 96025 -2212
27665 -11977 -35471
53108 -88238 31261
17852 -59499 -95612
2091 -9894 -97690
40676 96298 -88825
64300 -42492 -1819
45080 86550 -15185
82058 9457 31375
80088 90711 77251
67325 -80655 -79892
42859 98123 9741
65510 73827 -24824
17428 -99542 -68999
32309 9030 21901
50893 -13733 5598
28548 66600 -27642
45965 -70246 -9056
14459 93768 83104
583 -18356 23894
57570 76197 72336
7832 -82060 26809
9972 -78105 22908
64633 73115 -49053
3876 60882 -65911
18206 -93860 23469
60326 -7810 14960
74037 -5145 91849
13432 -9908 16250
8987 33993 -27030
24845 -46212 48543
7017 30505 -48329
35301 -90258 -39568
65442 -63974 35072
13186 72278 68625
55081 -8515 -42081
14031 -56249 -80040
1141 -21144 93318
4054 -67964 -34807
16656 -30792 -71156
37042 -87343 -5725
20115 37177 35749
18174 -336 76785
79503 -26986 -49414
71451 -18469 65546
21382 -6651 77696
41234 2058 56315
36765 -89639 -10167
32913 92209 -66966
81522 98743 77240
43 32190 -45428
16439 -1142 67359
9907 17455 73922
39578 72106 -59572
71439 -97494 9390
55797 20364 96569
21040 35301 89236
16997 -27169 29808
48947 51582 -56364
52615 -97725 19711
70666 90815 -73712
82817 -63467 -59432
51952 3313 -89000
74090 4030 -11491
81784 3879 -93974
16098 7947 24832
75377 -93409 3000
45777 -59320 74518
72916 25825 11250
43935 -90687 72299
21837 48181 67347
12587 -95483 -24605
77043 -64292 -73448
27388 -85565 -96991
61872 -48974 65299
7160 -62085 25135
82425 42847 -60249
24183 -27494 33627
11418 -85749 -96965
70087 22830 -27307
32459 44860 57700
10116 -92573 3488
12908 72281 888
44052 -9063 20545
75724 -23023 -85560
31423 -72033 -73478
36958 40210 78865
37918 32954 -41749
35792 -65602 69637
11109 -29816 54925
80055 15725 38693
21396 3384 2244
32676 16245 -32258
65098 -59019 -66883
19848 88547 -37318
30819 27012 41407
35141 15114 91903
759 13826 -68145
75947 24719 67217
69073 -87270 -50016
50019 2313 -9279
45810 -66423 -37204
19014 10684 -87761
62387 -81077 -60428
20466 72241 -48687
56927 -81501 -17011
6932 -68938 -67393
52455 12106 -62043
13176 -68732 50571
69093 52472 -87176
60108 72311 -93132
44961 80293 -46976
39088 -14688 45819
12780 46784 92125
13576 57546 50063
36691 -92583 -48199
46963 95482 83916
10067 51848 -88566
57681 53914 -65858
43688 -99093 61414
15114 -74116 68994
38303 57320 3107
63661 1924 90860
7644 88710 -8855
39710 97466 24558
65206 78701 85327
57310 61728 -45325
52065 -92775 47647
39798 -26667 -70104
47284 3496 -3369
79326 -53851 -85855
40118 12628 7619
66573 15745 60292
1253 -17993 75315
27969 -7591 5667
16687 -65603 -79407
54545 -68722 64598
2855 731 -44472
57404 1960 -55724
82240 8820 -4966
39054 86099 40076
17156 8542 50444
79724 30332 28147
57818 -30868 86948
9658 -45093 78044
6166 -93892 42638
38509 -63172 -85785
41489 -41018 -31657
64659 15982 1877
55250 52626 -8026
48415 52283 24898
22183 -28875 29558
38987 -22080 27681
23396 82912 -3080
31188 -61621 78311
69201 20701 -36543
58056 -69008 77828
66120 -61588 -92288
33750 25299 -31799
18455 -43293 98323
66181 27102 21943
16882 -82625 21061
65369 -36481 22591
40913 71462 95917
72876 -67883 21077
40654 4212 15636
51205 -17960 -2043
4384 8451 32342
3412 62217 -43823
68496 -80483 11614
40525 -71965 84908
28200 72928 -55974
38994 63851 96203
30273 -20996 -28286
66296 89806 -97194
4015 -35753 -50838
28415 8387 -53280
51609 -83935 19934
76904 -50274 -85582
71450 -59674 83483
64057 63811 98953
65410 33556 -87950
32010 -65591 31783
19439 -45727 53208
58971 4174 73469
74875 -86174 22467
66441 -82800 -18193
53286 74593 67154
75058 -14410 -39120
81421 -74981 -89936
25005 40515 -89405
26250 -25602 46242
81418 15593 -75119
79560 56295 -78185
22766 -85605 79016
34538 -50942 19807
46275 80358 44028
8683 29032 27235
11035 85862 -47586
26584 21392 -65663
67613 72101 62851
2144 93858 2411
43410 66337 -69189
45403 -83256 -93512
60342 -48557 -44068
30432 60155 -9981
56017 -71348 8037
49378 -4195 -757
82872 49198 -41721
26840 -17585 19118
67935 5925 -82227
41920 -84972 35623
25867 11191 -3558
7668 -25205 81773
61248 -67398 -75236
40946 -72054 -32866
56863 82804 83732
23468 -79 -74581
22647 5419 -82046
25618 59822 -78461
27629 -48414 -34924
24099 77302 7800
28532 23848 22845
70034 -17271 -58906
32704 9525 -17161
74425 -26501 75104
76572 -49296 92320
70203 -57465 -9075
17729 -9556 -89086
35588 61609 86756
75451 -88351 72503
19721 -26456 -63759
73365 41677 -98964
72496 -14786 53414
23811 66566 -12072
22761 -57520 -81380
8857 84186 43414
38545 97484 33860
40872 48567 85790
12133 23418 56745
43012 -92785 -39163
42735 74468 9383
71855 -59551 -5307
63162 72481 31492
14322 -76689 -34775
22156 -32759 -43068
67523 -86935 65088
69308 -78620 -20496
67694 -42353 -27476
31880 -95763 28425
63672 -15391 23795
10363 -42429 -46984
20221 -78271 92825
46029 74247 -63796
25961 -88751 42960
17646 -44972 -69921
24850 -9598 -63689
78935 -1920 38591
4684 66705 21357
74239 89435 90134
62972 -12908 34853
65907 64359 -38184
65647 -31600 -50784
71569 -65448 -65508
19388 -10932 -70590
67990 -46556 -63681
68413 53634 -49752
45941 -98932 -84531
28273 -25998 -26298
13466 68673 -83727
39230 212 -9236
16488 56022 37568
43007 33736 78278
49241 80039 8108
76760 -71769 13489
53976 -59011 81963
38872 -87910 -78837
63310 -27136 67717
67050 -36189 65961
73775 -64050 38167
54596 86034 -41370
59046 -36239 -78274
20961 58639 -41088
80230 -24613 -34856
5223 88020 35063
56838 70227 -53119
79571 87296 91605
53438 -67697 3192
58626 -11027 18825
34200 91082 16397
17289 89348 -13458
74702 64726 27921
49048 27389 -27380
47684 19121 -96895
77515 -32891 71604
5799 -51999 44013
70159 -36595 -98067
75659 -30788 12148
30908 -61409 62616
4240 -63280 -42747
2245 41311 -43244
43772 9247 -59047
5474 -79071 -16189
57657 -25024 41555
2476 -89249 -35293
16004 -94264 24242
52772 93481 -35978
700 -28524 80368
39491 8280 -17072
10494 35968 28098
36862 46361 -71677
77892 50385 62379
48364 29103 -31333
38251 40832 -63050
57802 30303 97244
71317 -75450 39228
75736 11530 -46892
52930 -82755 69663
81583 -86913 5955
38944 -76868 -18471
2070 10509 -6614
82573 -34153 -81820
77381 -19231 66771
23204 -89652 38345
81109 49474 -18349
3267 35743 -44531
29383 -43490 67163
68928 -97801 47244
15834 91810 -76541
37184 -34025 -52796
16412 -63682 88190
52133 7680 30654
75857 -11945 33652
34398 86570 -41437
79459 21959 52712
51657 -49603 85864
21085 -18057 -71029
50804 -74229 -96725
11865 15118 -92657
41382 20711 -48642
79733 -21949 60407
67171 77778 -13896
21266 8121 92262
14210 6961 9109
53964 -80449 -11809
59364 88089 1719
19280 54060 15225
81028 -5618 23800
2075 14276 3049
35378 40653 27272
12666 -50878 87123
53893 -72666 58824
14009 38307 18119
9365 -60311 -40785
34690 11569 -97543
34544 -69739 79378
75824 -17202 -49669
74265 -54532 -55792
8420 75260 45620
32116 44457 -88385
56733 -23697 -23081
7268 22081 59075
11908 -67529 -24071
37012 -76979 17079
59556 -93687 26875
33211 -66913 85538
57690 50861 -87664
45892 -95355 2585
42061 -47438 -80694
44179 -16185 -92644
38329 21031 69547
50118 -55201 -81292
73568 6652 83080
72670 -76587 -79693
73112 -42093 20684
75957 16150 -34132
42689 74664 -12497
9171 31352 -90569
5205 -95860 -6108
38513 66709 -88146
44865 49755 -92075
27500 -80801 7051
2022 -2673 14004
34495 2459 73055
52469 98478 14815
82549 -40500 -63629
48190 75372 -146
15115 92492 -57747
1688 -26333 68529
8463 -59252 60543
32236 89092 -39708
872 -20775 74926
81578 7416 -86858
29029 -91266 61010
53203 65775 98705
30377 76731 61898
55641 19942 76572
38997 -36142 90483
59956 30965 45401
29446 -93861 -81135
44715 -55220 -85327
70364 -46524 -19110
76472 -54255 59976
12475 90775 -6350
55747 40300 -91926
44773 -2766 -66267
43631 -46268 75163
24923 -81826 31632
77642 9648 50696
45015 79739 56164
60317 -23185 -45603
497 68207 18929
81834 12024 -80307
25502 13721 -62530
78288 32642 44874
49251 -54189 61739
13457 -6684 -11013
65660 64588 -43268
77557 69814 -72852
12202 -91051 96134
72743 85954 75983
43008 56121 73620
25581 52144 19818
65213 -82080 97402
78612 -72756 -62004
59542 70723 -44525
52106 -28751 75630
60050 65111 93353
12895 -78006 9199
4035 -77427 -4155
80563 45580 -59476
9574 90974 -36256
42211 70612 23415
862 -74507 69026
81182 -74420 -66978
4293 749 82241
58717 -13745 -24051
37692 49706 54200
72348 81454 -34007
45749 56969 47631
79934 9564 -67557
60379 -33018 56295
77565 -35780 -43344
9102 -52113 23338
19116 -12180 55929
30515 90363 -31995
1203 61382 -997
814 -75404 -36073
66197 -55830 52286
54882 22601 -96044
64579 -75207 -97474
23659 93558 11587
27873 77065 40005
37647 -56217 -49911
1785 19930 -2468
62140 77622 59306
7052 28642 -85079
21237 -32970 1475
32707 -62182 -26875
56406 67737 -35280
43844 57619 -61641
33152 -44947 75407
27728 -90273 -22067
42796 60278 -43683
20089 14587 6826
60266 -38032 -75270
8513 -38421 15963
3209 44951 -49121
9797 -67276 98720
55811 18636 71417
63273 42881 -42587
891 94460 46270
46221 27027 98386
76551 15366 77656
58478 -10754 19285
11919 -20844 -80269
67655 -76842 -60428
67869 -50563 -43317
30269 88260 -53748
22317 18705 9671
56226 -83896 50185
176 6730 -80942
65542 -13171 57947
58083 -73979 -68247
17807 -61323 98153
68230 -97410 -19425
2947 87727 -37457
33252 96588 -63110
25332 -94254 -68087
80180 17098 39602
45588 -15185 19412
24617 -765 26001
76311 -76886 31145
8542 -65206 61411
